Question,Wrong Answer,Correct Answer(s),Model(s),Equiv Ratio,Occurrence
Which highway was Revisited in a classic 60s album by Bob Dylan?...,Highway 61,"['61', 'sixty-one', 'sixty one']","GPT-5.2 (OpenAI), Claude Opus 4.6 (Anthropic), Llama 4 Maverick (Groq), DeepSeek V3.2 (DeepSeek), Llama 3.1 8B (HuggingFace)",1.0,5
What was Eddie Murphy's first movie?...,48 Hrs,"['48 Hours', '48 time', 'forty-eight  time']","GPT-5.2 (OpenAI), Claude Opus 4.6 (Anthropic), Llama 4 Maverick (Groq), DeepSeek V3.2 (DeepSeek), Llama 3.1 8B (HuggingFace)",1.0,5
In the 80s who wrote the novel Empire of The Sun?...,J,"['J. G. Ballard', 'JG Ballard', 'J.G. Ballard']","GPT-5.2 (OpenAI), Claude Opus 4.6 (Anthropic), Llama 4 Maverick (Groq), DeepSeek V3.2 (DeepSeek), Llama 3.1 8B (HuggingFace)",1.0,5
"To the nearest two, how many tennis Grand Slam titles did Jimmy Connors win?...",8,"['10', 'ten']","GPT-5.2 (OpenAI), Claude Opus 4.6 (Anthropic), Llama 4 Maverick (Groq), DeepSeek V3.2 (DeepSeek), Llama 3.1 8B (HuggingFace)",1.0,5
What is the largest city in Ohio?...,Columbus,"['Cleveland', ""The Rock 'n' Roll Capital of the World"", 'Cleveland, Cuyahoga, Ohio']","GPT-5.2 (OpenAI), Claude Opus 4.6 (Anthropic), Llama 4 Maverick (Groq), DeepSeek V3.2 (DeepSeek), Llama 3.1 8B (HuggingFace)",1.0,5
Who was the man behind The Chipmunks?...,Ross Bagdasarian Sr,['David Seville'],"GPT-5.2 (OpenAI), Claude Opus 4.6 (Anthropic), Llama 4 Maverick (Groq), DeepSeek V3.2 (DeepSeek)",1.0,4
In which decade did stereo records first go on sale?...,1950s,"['1930s', '1930’s', 'Thirties']","GPT-5.2 (OpenAI), Claude Opus 4.6 (Anthropic), Llama 4 Maverick (Groq), DeepSeek V3.2 (DeepSeek)",1.0,4
In what year's Olympics were electric timing devices and a public-address system used for the first time?...,1912,"['In 1912, in Stockholm', 'in 1912 in stockholm']","GPT-5.2 (OpenAI), Claude Opus 4.6 (Anthropic), DeepSeek V3.2 (DeepSeek)",1.0,3
Who was the director of the CIA from 1976-81?...,Stansfield Turner,"['George Bush', 'Goerge Bush', 'George W. Bush (disambiguation)']","GPT-5.2 (OpenAI), Llama 4 Maverick (Groq), Llama 3.1 8B (HuggingFace)",1.0,3
Who was the defending champion when Martina Navratilova first won Wimbledon singles?...,Chris Evert,"['Virginia Wade', 'Sarah Virginia Wade']","GPT-5.2 (OpenAI), Llama 4 Maverick (Groq), DeepSeek V3.2 (DeepSeek)",1.0,3
